NUTS_ID,Sector_ID,Exposure_Index,Energy_1,Energy_2,Energy_3,Energy_Index,Labor_1,Labor_2,Labor_3,Labor_4,Labor_Index,SupCh_1,SupCh_2,Sup_Ch_Index,Tech_1,Tech_2,Tech_3,Tech_4,Tech_5,Tech_6,Tech_7,Tech_8,Tech_9,Tech_10,Tech_Index,Finance_1,Finance_2,Finance_3,Finance_Index,Inst_1,Inst_2,Inst_3,Inst_Index,Country,Region_Name,Sector_Name,Vulnerability_Index
HU22,C19-C20,0.01894980629599004,0.08133708972564029,0.929635246510419,0.9736778583846285,0.3445025637553801,0.04462897526501768,0.05319559228650138,0.9059733362398912,0.1207826086956521,0.2055395128205073,0.03175245758586036,0.684671682626539,0.367009938645413,0.99,0.9137256918056239,0.5197153528379831,0.8352194543297746,0.5637164229853793,0.7052958363769175,0.6553993260688811,0.7324942760942761,0.5590895061728395,0.9888990971180446,0.8158330603325162,0.9890206624536618,0.989449019462674,0.9506722269663418,0.9658205879308256,0.7208134202268888,0.7530861551650236,0.7207761003614713,0.7570342129817412,HU,Nyugat-Dunántúl,Chemical and Petrolchemical,0.6271187271518542
HU23,C19-C20,0.0247241797351135,0.08339017849541551,0.9028414521351905,0.9741344393301934,0.3450261315259537,0.158904593639576,0.1395867768595042,0.9164208600943806,0.3650724637681159,0.3650727773974683,0.03175245758586036,0.6263543091655266,0.3370576473334662,0.99,0.8483164200455988,0.7389966611963104,0.6486635033610123,0.4320469228153689,0.64245434623813,0.6566859218414949,0.7483326599326601,0.8032973251028808,0.9888990971180446,0.8187807237197708,0.9883887984190128,0.989107291354213,0.9723553798128822,0.9783424936955725,0.6680642046825971,0.7459451350192885,0.7130661280034021,0.7337052363677107,HU,Dél-Dunántúl,Chemical and Petrolchemical,0.666749616696229
HU31,C19-C20,0.07630606227314268,0.1017302087825403,0.7167029511726072,0.9773063414350366,0.3494457289184865,0.172756183745583,0.2097796143250689,0.9091188260925679,0.5099420289855073,0.4427059671259518,0.03175245758586036,0.6662380300957592,0.357542260357154,0.99,0.9288184541105995,0.8963867353290702,0.8250889679715303,0.01452227133628026,0.4703433162892622,0.640217495952037,0.7264668911335578,0.7226388888888888,0.9888990971180446,0.7933682306445382,0.9827444221487767,0.9860546693967982,0.93201632118693,0.950336943632762,0.8102268887279749,0.8912858979854265,0.7589092068892196,0.8487438365669039,HU,Észak-Magyarország,Chemical and Petrolchemical,0.71996830671419
HU32,C19-C20,0.02912820268541061,0.08495603670607878,0.883392816202453,0.9744658547489937,0.3454218108042929,0.1831448763250884,0.1854820936639119,0.920882140860971,0.4701739130434782,0.4280231460814904,0.03175245758586036,0.5130711354309165,0.2788744607619832,0.99,0.834450355402566,0.7070527983702111,0.6424080664294187,0.4317137028221693,0.5885609934258582,0.7180994267209312,0.8013032547699214,0.6380555555555556,0.9888990971180446,0.8052115168770921,0.9879068857510154,0.9888466607510332,0.9463604929704388,0.9624746122094541,0.8341177890417572,0.7778696956708101,0.81913034233468,0.838630905911756,HU,Észak-Alföld,Chemical and Petrolchemical,0.6928961660113769
HU33,C19-C20,0.0347135622640063,0.0869419212608041,0.8598657933978647,0.9748667681160224,0.3459189348737601,0.1104240282685512,0.1044903581267217,0.9165435444955631,0.2599710144927537,0.2990195539391449,0.03175245758586036,0.56703146374829,0.3065889372057962,0.99,0.8012418972685413,0.6967930507611342,0.5954092526690392,0.4739850391023461,0.6404601899196494,0.6710529079690166,0.7782936026936027,0.7831687242798354,0.9888990971180446,0.8120121553718697,0.9872957046634907,0.9885161185053696,0.9558020961472962,0.9676950079771447,0.7326405986000483,0.7308229747106729,0.6668062938549861,0.7348076304647079,HU,Dél-Alföld,Chemical and Petrolchemical,0.6304586640479276
HU11,C21-C22,0.01584386121084273,0.02862840075095892,0.8395586143239895,0.9597889058290441,0.2022035219729091,0.03077738515901059,0.04509641873278237,0.8889323359251573,0.09805797101449273,0.1839195553718581,0.02762153130026222,0.9041997264021888,0.4776397017490082,0.34,0.3468818454110599,0.6865333031520571,0.5574337682878607,0.5858993539612377,0.4589919649379108,0.5109146208043411,0.6335483726150393,0.7633281893004115,0.9829379816344155,0.5646524865029149,0.9878585379836432,0.9895575179325181,0.9595204250897688,0.970636196563054,0.7896738191529113,0.7660476252221486,0.6550845721985464,0.7626008281540433,HU,Budapest,Pharmaceutical and Plastic,0.5317778959671737
HU12,C21-C22,0.01848494301422556,0.02964257237481573,0.7947660211696483,0.9613483530302063,0.2016976875929216,0.06194346289752651,0.02889807162534434,0.8932199749222645,0.1349855072463768,0.2036010663065703,0.02762153130026222,0.8096853625170999,0.4290963330710253,0.99,0.9419178327149179,0.695961179333371,0.7966350336101227,0.5368684121047262,0.6317677136596055,0.6573721062535556,0.7186356902356902,0.7971039094650206,0.9829379816344155,0.8394678598005625,0.986890723013373,0.9893671819206912,0.9089612863604293,0.939901946960161,0.7896738191529113,0.7660476252221486,0.6550845721985464,0.7626008281540433,HU,Pest,Pharmaceutical and Plastic,0.6013862643459721
HU21,C21-C22,0.02421503720937922,0.03184292032591214,0.7118825603323421,0.9642339278970155,0.2008308058167984,0.02731448763250884,0.02349862258953168,0.9135441539954152,0.1974782608695652,0.2185903674645363,0.02762153130026222,0.6156292749658003,0.3294275016364435,0.99,0.9316661451115383,0.7437105992869675,0.7966350336101227,0.5841856511390683,0.6674579985390796,0.6225053608157192,0.7645230078563412,0.6790689300411523,0.9829379816344155,0.8406327378064823,0.9847909505125646,0.9889542286849746,0.9198687762781863,0.9452942391000104,0.6794182959208304,0.7955122160308615,0.6853519030406123,0.7451650250140857,HU,Közép-Dunántúl,Pharmaceutical and Plastic,0.5701260399275765
HU22,C21-C22,0.01915218872411304,0.02989879377024593,0.7841718669157056,0.9617171868716199,0.2015815536181408,0.04462897526501768,0.05319559228650138,0.9059733362398912,0.1207826086956521,0.2055395128205073,0.02762153130026222,0.684671682626539,0.3648882603161047,0.99,0.9137256918056239,0.5197153528379831,0.8352194543297746,0.5637164229853793,0.7052958363769175,0.6553993260688811,0.7324942760942761,0.5590895061728395,0.9829379816344155,0.8142889086696073,0.9866462132121049,0.9893190952286522,0.9506722269663418,0.9646980903022836,0.7208134202268888,0.7530861551650236,0.7207761003614713,0.7570342129817412,HU,Nyugat-Dunántúl,Pharmaceutical and Plastic,0.5792325473241923
HU23,C21-C22,0.01415444265657009,0.02797966644959576,0.8708603395998094,0.9586991411060076,0.2025698419682521,0.158904593639576,0.1395867768595042,0.9164208600943806,0.3650724637681159,0.3650727773974683,0.02762153130026222,0.6263543091655266,0.3349359690041578,0.99,0.8483164200455988,0.7389966611963104,0.6486635033610123,0.4320469228153689,0.64245434623813,0.6566859218414949,0.7483326599326601,0.8032973251028808,0.9829379816344155,0.817236572056862,0.9884776193637743,0.9896792700075637,0.9723553798128822,0.9786386739534514,0.6680642046825971,0.7459451350192885,0.7130661280034021,0.7337052363677107,HU,Dél-Dunántúl,Pharmaceutical and Plastic,0.6194740195101043
