Country,NUTS_ID,Region_Name,Sector_ID,Sector_Name,Exposure_Index,Energy_Index,Labor_Index,Sup_Ch_Index,Tech_Index,Finance_Index,Inst_Index,Vulnerability_Index,Risk_Index,Manuf_Share
FR,FRC1,Bourgogne,C23,"Cement, Ceramics, Glass, and Lime",0.06777581286217672,0.2674070808531858,0.3315528633678787,0.241534600562627,0.7248133421485222,0.9325782745406022,0.3948798090992555,0.4693909271727618,0.3294887514870492,0.0357925628738066
FR,FRC2,Franche-Comté,C23,"Cement, Ceramics, Glass, and Lime",0.03313131272608683,0.1693114625117491,0.2520409445368285,0.3678850708095754,0.7248133421485222,0.9462262333079491,0.39783647025547,0.45598762151791294,0.2997336676627415,0.01433002711839221
FR,FRD1,Basse-Normandie,C23,"Cement, Ceramics, Glass, and Lime",0.03795845640580166,0.185525481163748,0.3120567467854657,0.406788621594058,0.7586944127687855,0.9423798999041634,0.3455524003080866,0.49191446860288696,0.3249718318497743,0.0173204799583937
FR,FRD2,Haute-Normandie,C23,"Cement, Ceramics, Glass, and Lime",0.09056232961114109,0.3176386612281601,0.355643732011275,0.3925010343590489,0.7586944127687855,0.8943945802816287,0.3892360878705787,0.5526837998647042,0.39518168112007773,0.049908986217913
FR,FRE1,Nord-Pas de Calais,C23,"Cement, Ceramics, Glass, and Lime",0.1580074209621876,0.4363670614260939,0.4483454840671592,0.2935207613454314,0.7454700776014901,0.8532412275178084,0.427063732048703,0.5897771343473006,0.45992032157070645,0.09169174189234369
FR,FRE2,Picardie,C23,"Cement, Ceramics, Glass, and Lime",0.0987175040265599,0.3339907124867526,0.4403326070227148,0.2792331741104223,0.7454700776014901,0.911528341502312,0.4408912764684729,0.5694464885254826,0.4106128354121369,0.05496117983580371
FR,FRF1,Alsace,C23,"Cement, Ceramics, Glass, and Lime",0.06471762245639466,0.2600310692041995,0.2643498865143877,0.3966323848848347,0.6998257254522431,0.9049701071157007,0.3521499156976898,0.46366373678850437,0.32404813380362135,0.03389799026709759
FR,FRF2,Champagne-Ardenne,C23,"Cement, Ceramics, Glass, and Lime",0.04768769941243182,0.2151210393981207,0.3815787362665439,0.2850859206886188,0.6998257254522431,0.940986807845277,0.3870923420989547,0.47593723550873607,0.32110257152191385,0.02334782124150228
FR,FRF3,Lorraine,C23,"Cement, Ceramics, Glass, and Lime",0.08392125926917317,0.3037523289581027,0.3766721861391689,0.2527236749032968,0.6998257254522431,0.915577196909454,0.401016427540633,0.49136134661738934,0.35309317555556774,0.04579479178275567
FR,FRG0,Pays de la Loire,C23,"Cement, Ceramics, Glass, and Lime",0.1055084856629288,0.3470838462447279,0.2724699982277533,0.2864630375305474,0.7140754030846469,0.8527457683772923,0.3281312917685854,0.43388468348885695,0.33086753630167565,0.05916824547717225
FR,FRH0,Bretagne,C23,"Cement, Ceramics, Glass, and Lime",0.07762498490432775,0.290051703499953,0.2744771600257808,0.3422362696286553,0.5473058267533363,0.8861634234660964,0.2948807599116546,0.36973352663911796,0.2738722394967992,0.04189420112188417
FR,FRI1,Aquitaine,C23,"Cement, Ceramics, Glass, and Lime",0.08204736808915963,0.299732116148172,0.3300998355489299,0.2783724760842168,0.7155576606239724,0.8989629427773684,0.3380909900611477,0.4570329272751147,0.33067377957084104,0.04463390170511534
FR,FRI2,Limousin,C23,"Cement, Ceramics, Glass, and Lime",0.0387679773955675,0.1881329568458166,0.3052160344365396,0.3907796383066381,0.7155576606239724,0.9681181794543715,0.3569775232071698,0.481774483599456,0.31919365458910426,0.01782198447193432
FR,FRI3,Poitou-Charentes,C23,"Cement, Ceramics, Glass, and Lime",0.06260387320533942,0.2548259712444353,0.3809692706197917,0.3246780298940657,0.7155576606239724,0.932766410464097,0.3544510192083164,0.49665298564361654,0.34316873803752684,0.0325885062595193
FR,FRJ1,Languedoc-Roussillon,C23,"Cement, Ceramics, Glass, and Lime",0.07425198078030343,0.2824744746212513,0.4094526306338617,0.3239894714731015,0.5412660936291025,0.9375162332060778,0.4329658118397385,0.4828894989738992,0.3418587243699216,0.03980459898213158
FR,FRJ2,Midi-Pyrénées,C23,"Cement, Ceramics, Glass, and Lime",0.0998118564756878,0.3361312574177681,0.2927768139478015,0.2892172712144045,0.5412660936291025,0.8884314387830471,0.3589978247465211,0.397468696113239,0.3047880012373479,0.05563913964114566
FR,FRK1,Auvergne,C23,"Cement, Ceramics, Glass, and Lime",0.04542403886697552,0.2085469736108598,0.3757113476048571,0.3467118993649232,0.5530386981340322,0.9417963294652072,0.3795910632770725,0.43559700070017876,0.29471879693256975,0.02194546602771277
